id,datum,start_datum,end_datum,zeit,titel,prenom,referent,postnom,art,ort,youtube,podcast,Zusammenfassung,kursnummer,institution_ort,zoom_link,meeting_id,homepage_link,parent_id,parent_titel,is_subevent,z_kommentare
235_5,2025-10-24,2025-10-24,2025-10-24,9.30 Uhr,«Über die Wunden des Krieges hinausgehen»,,Valquiria Gonçalves de Oliveira,,Vortrag,Erzbischöfliches Palais,https://youtu.be/0EABSQx0rzY?si=TKf9vTw6OGPGKpL8,https://www.buzzsprout.com/870355/episodes/18319611-uber-die-wunden-des-krieges-hinausgehen-valquiria-goncalves-de-oliveira.mp3,"Die ADI/TIP-Methode (Therapie der Integration der Person) ist ein therapeutischer Weg, der den ganzen Menschen in seinen zwei Dimensionen – der psychophysischen und der spirituellen – betrachtet. Sie fördert die Heilung individueller und kollektiver Traumata, indem sie das „gesunde Selbst“ wiederherstellt, das in jedem Menschen gegenwärtig ist. Die Methode wirkt direkt auf das Unbewusste und integriert Körper, Geist, Seele und Psyche. Diese Methode basiert auf der Anthropologie und dem Denken der Philosophin Edith Stein. Sie erkannte, dass die „große Krankheit unserer Zeit“ die innere Zerrissenheit des Menschen ist. Die Heilung, so Stein, liegt im Zugang zum vollen Menschsein und in der Bildung verwirklichter Menschen, die fähig sind, ihre innere Einheit wiederherzustellen – und dadurch zum Frieden und zur Erneuerung der Gesellschaft beizutragen. Diese Reflexion ist heute aktueller denn je – besonders angesichts von Konflikten wie dem Krieg in der Ukraine, wo ich sechs Mal gewesen bin. Dort zeigen sich nicht nur äußere Zerstörung, sondern auch ein innerer Zusammenbruch, verursacht durch Angst, Ideologien und Werteverlust. Durch die Arbeit mit der ADI/TIP-Methode konnte ich dort drei Dinge beobachten:  1.⁠ ⁠Die äußere Zerstörung kann das innere Trauma verstärken, das aufgearbeitet werden muss;  2.⁠ ⁠In uns existiert ein gesundes Selbst, das in diesem Prozess der Aufarbeitung aktiviert werden kann;  3.⁠ ⁠Auf dieser Grundlage ist auch ein äußerer Wiederaufbau möglich – im Rahmen des Möglichen. Selbst unter den unmenschlichsten Bedingungen kann der Mensch einen Funken von Sinn, innerer Freiheit und Hoffnung in sich bewahren. Nicht weil das Leiden gerecht wäre, sondern weil wir inmitten des Leidens entdecken können, wer wir wirklich sind.",,Belo Horizonte,,,https://tagung.karmel.at,233,Umbruch Wandel Mut: Edith Stein Tagung 2025,1,
235_6,2025-10-24,2025-10-24,2025-10-24,9.30 Uhr,Proexistenz als Schlüsselthema für das Verständnis Edith Steins Im Spannungsfeld zwischen Selbst-Sein und Sein-für-Andere,Dr. ,Daniela Köder,,Vortrag,Erzbischöfliches Palais,,,,,Ditzingen,,,https://tagung.karmel.at,233,Umbruch Wandel Mut: Edith Stein Tagung 2025,1,
236,2025-11-28,2025-11-28,2025-11-28,,Krieg Flucht Trauma,Dr. ,Helga Ehrmann-Falkenau,,Vortrag,Karmelzentrum Wien,https://www.youtube.com/watch?v=wfLDWhOG1IA,https://www.buzzsprout.com/870355/episodes/18301246-krieg-flucht-trauma-und-vom-mut-zum-weiterleben-helga-ehrmann-falkenau.mp3,"Das Erleben von Krieg und Flucht traumatisiert. Das Wesen des Traumas ist die Fragmentierung, Spaltung der Psyche. Schwerwiegende Beeinträchtigungen auf den Ebenen von Leib, Seele und Geist sind die Folgen. Woraus und wodurch kann sich die Person dennoch sammeln und wieder in Integrationprozesse eintreten? Der Vortrag befasst sich mit seelischen Verletzungen und Quellen der Heilung, auch im Sinn von Edith Steins Anthropologie.", ,,,,,,,0,
237,2025-12-09,2025-12-09,2025-12-09,,Hoffnung für alle,P. Dr. ,Christof Betschart,OCD,Online Vortrag,über Zoom,https://www.youtube.com/watch?v=RcKkazxBjOo,https://www.buzzsprout.com/870355/episodes/18795590-hoffnung-fur-alle-in-edith-steins-eschatologie-christof-betschart.mp3,"Zum Abschluss des Jubiläumsjahrs, mitten im Advent, laden wir Sie ein, mit Edith Stein der Frage nach universaler Hoffnung und Heil nachzugehen. Im Zentrum steht ihr erster christlich geprägter Essay Freiheit und Gnade sowie sein Einfluss auf die katholische Eschatologie, insbesondere bei Hans Urs von Balthasar. Ein Treffen über Glauben, Verantwortung und die grenzübersteigende Kraft der Hoffnung.", ,"Fakultät Teresianum, Rom",,,,,,0,
238,2026-01-30,2026-01-30,2026-01-30,,Privat und Fromm oder Öffentlich und Engagiert,Dr. ,Tonke Dennebaum,,Vortrag,Karmelzentrum Wien,https://www.youtube.com/watch?v=zx3-V-MHGxQ,https://www.buzzsprout.com/870355/episodes/19088917-privat-und-fromm-oder-offentlich-und-engagiert-glaube-und-kirche-in-der-sakularen-welt-von-heute.mp3,"Umbruch und Wandel betreffen Staat und Kirche gleichermaßen. Unter diesen Bedingungen ist zu fragen: Welche Bedeutung haben Glaube und Kirche im pluralen und säkularen Staat von heute? Kann der Glaube Positives eintragen, den Wandel mitgestalten? Hier sind zunächst Grundlagen zu klären: Was bedeutet Säkularisierung und was sind ihre Gründe? Ist der Mensch von heute wirklich säkular oder bindet er seine Verehrung einfach nur an Anderes? Und schließlich: Bleibt Religion auch zukünftig kraftvoll? Die Diskussion dazu ist in Philosophie, Theologie und Soziologie in vollem Gange. Am Samstag, den 31. Januar, wird uns die Arbeit über Texte von Charles Taylor, William Cavanaugh oder Hartmut Rosa helfen, einen Zugang zu finden. Und auch Edith Stein trägt hier viel bei – in ihren Texten zum Staat, zu Freiheit und Spiritualität, aber auch biographisch.", ,,,,https://www.edith-stein-gesellschaft.at/content/view/full/10954?id=19716&caleventId=43148#event/19716/43148,,,0,
239,2026-01-31,2026-01-31,2026-01-31,,Privat und Fromm oder Öffentlich und Engagiert,Dr. ,Tonke Dennebaum,,Vertiefungstag,Karmelzentrum Wien,,,"Umbruch und Wandel betreffen Staat und Kirche gleichermaßen. Unter diesen Bedingungen ist zu fragen: Welche Bedeutung haben Glaube und Kirche im pluralen und säkularen Staat von heute? Kann der Glaube Positives eintragen, den Wandel mitgestalten? Hier sind zunächst Grundlagen zu klären: Was bedeutet Säkularisierung und was sind ihre Gründe? Ist der Mensch von heute wirklich säkular oder bindet er seine Verehrung einfach nur an Anderes? Und schließlich: Bleibt Religion auch zukünftig kraftvoll? Die Diskussion dazu ist in Philosophie, Theologie und Soziologie in vollem Gange. Am Samstag, den 31. Januar, wird uns die Arbeit über Texte von Charles Taylor, William Cavanaugh oder Hartmut Rosa helfen, einen Zugang zu finden. Und auch Edith Stein trägt hier viel bei – in ihren Texten zum Staat, zu Freiheit und Spiritualität, aber auch biographisch.", ,,,,https://www.edith-stein-gesellschaft.at/content/view/full/10954?id=19716&caleventId=43148#event/19716/43148,,,0,
240,2026-02-24,2026-02-24,2026-02-24,,Wege des Friedens: Breslau - der Anfang,"[""P. Dr. "", ""Sr. ""]","[""Lukasz Steinert"", ""Nicoletta Braus""]","[""OCD"", ""ST""]",Online Vortrag,über Zoom,https://www.youtube.com/watch?v=D8qInc6AmYc,https://www.buzzsprout.com/870355/episodes/18822519-breslau-der-anfang-wege-des-friedens-auf-den-spuren-edith-steins.mp3,"Der erste Vortrag (24.2.2026) führt an den Geburtsort Edith Steins. Die schlesische Stadt Breslau - heute Wroclaw - wurde vom britischen Historiker Norman Davies als ""Mikrokosmos"" bezeichnet, da sich in ihr die wichtigsten Strömungen der mitteleuropäischen Geschichte begegneten - sei es im fruchtbaren Austausch oder in feindlicher Rivalität. Ausgehend von der Welt, in der Edith Stein aufwuchs und geprägt wurde, wird aufgezeigt, wie sie als Philosophin und gesellschaftlich engagierte Frau mit den Spannungen ihrer Zeit umging, um auf dem Fundament der Wahrheit Frieden zu stiften.", ,,,,https://www.edith-stein-gesellschaft.at/content/view/full/10954?id=19749&caleventId=43353#event/19749/43353,,,0,
241,2026-03-06_2026-03-08,2026-03-06,2026-03-08,,Bildung und Entfaltung der Individualität - Edith Steins Pädagogik,"[""Dr. "", ""Dr. "", ""Dr. ""]","[""Beate Beckmann-Zöller"", ""Cordula Haderlein"", ""Markus Holti""]",,Vertiefungstag,Karmelzentrum Wien,,,"Was davon können wir heute in die Bildungsinstitutionen der Gegenwart einbringen? Die pädagogischen Edith-Stein-Vertiefungstage in Wien bieten Gelegenheit, aus dem Bildungsverständnis bei Edith Stein Bezüge zum heutigen Kompetenzverständnis herauszuarbeiten. Anhand von Beispielen werden konkrete Umsetzungen aufgezeigt. So können Sie als Pädagogen gemeinsam mit uns Wege suchen, wie wir im Geist Edith Steins unsere Kinder und Jugendlichen in einer immer komplexeren Welt auf dem Weg in ein ge-lingendes Leben begleiten können. Lehrerfortbildungs-Bescheinigung wahrscheinlich für Deutschland möglich.", ,,,,https://www.edith-stein-gesellschaft.at/content/view/full/10954?id=18845&caleventId=43231#event/18845/43231,,,0,
241_1,2026-03-06,2026-03-06,2026-03-06,,Edith Stein: Inspiration für Leben und Bildung in unserer Zeit,Dr. ,Cordula Haderlein,,Vortrag,Karmelzentrum Wien,https://www.youtube.com/watch?v=R-O5LGAPeuA,https://www.buzzsprout.com/870355/episodes/19031232-edith-stein-inspiration-fur-leben-und-bildung-in-unserer-zeit-dr-cordula-haderlein.mp3,"Dr. Haderlein zeigt auf, welche Impulse Edith Steins Biographie und ihr Bildungsverständnis für die aktuellen Herausforderungen in Schule und Gesellschaft bereithalten.", ,,,,https://www.edith-stein-gesellschaft.at/content/view/full/10954?id=19775&caleventId=43399#event/19775/43399,,,0,
241_2,2026-03-06,2026-03-06,2026-03-06,,Kompetenz und Persönlichkeitsbildung in Edith Steins Pädagogik,Dr. ,Markus Holti,,Vortrag,Karmelzentrum Wien,https://www.youtube.com/watch?v=R-O5LGAPeuA,https://www.buzzsprout.com/870355/episodes/19031284-vom-bildungsverstandnis-bei-edith-stein-zum-heutigen-kompetenzverstandnis-dr-markus-holti.mp3,In diesem Teil wird die Brücke geschlagen: Wie lassen sich Steins anthropologisch fundierte Bildungsbegriffe mit modernen Konzepten der Kompetenzentwicklung vereinbaren?, ,,,,https://www.edith-stein-gesellschaft.at/content/view/full/10954?id=19775&caleventId=43399#event/19775/43399,,,0,
